id	geoLocCountry	sampleCollectionDate	authors	authorAffiliations	hostNameScientific	collectionDevice	collectionMethod	cultureId	depthOfCoverage	geoLocAdmin1	geoLocAdmin2	sampleReceivedDate	sequencingDate	sequencingInstrument	sequencingProtocol	specimenCollectorSampleId	versionComment
KF974791.1	Canada	2004-07-25	Author, Name	Research Institute						Calgary							
KX372315.1	Spain	2019-11-26	Author, Name	Research Institute						Barcelona							
KJ686159.1	Spain	2020-01-15	Author, Name	Research Institute						Seville							
HQ647172.1	Brazil	2010-04-14	Author, Name	Research Institute						Rio de Janeiro							
FJ357379.1	Australia	2017-07-16	Author, Name	Research Institute						Brisbane							
FJ357380.1	Germany	2015-04-24	Author, Name	Research Institute						Berlin							
AB575927.1	Australia	2017-08-06	Author, Name	Research Institute						Adelaide							
FJ357377.1	USA	2018-03-31	Author, Name	Research Institute						Chicago							
AB575939.1	Brazil	2018-11-05	Author, Name	Research Institute						Fortaleza							
HQ189392.1	Spain	2020-02-26	Author, Name	Research Institute						Barcelona							
AB575918.1	Australia	2025-01-10	Author, Name	Research Institute						Sydney							
AB575937.1	USA	2013-02-14	Author, Name	Research Institute						Phoenix							
FJ357376.1	USA	2012-02-13	Author, Name	Research Institute						Chicago							
JQ742001.1	USA	2021-04-03	Author, Name	Research Institute						Chicago							
MW473684.1	USA	2003-11-25	Author, Name	Research Institute						Los Angeles							
OQ842403.1	Canada	2004-02-20	Author, Name	Research Institute						Montreal							
PP858876.1	Canada	2010-03-11	Author, Name	Research Institute						Montreal							
MW354736.1	Germany	2001-11-28	Author, Name	Research Institute						Cologne							
MG756703.1	USA	2017-03-25	Author, Name	Research Institute						Phoenix							
MG756696.1	Spain	2010-10-05	Author, Name	Research Institute						Valencia							
MG756698.1	Italy	2019-02-28	Author, Name	Research Institute						Milan							
JX678885.1	Canada	2020-12-13	Author, Name	Research Institute						Toronto							
JX678886.1	Spain	2017-07-23	Author, Name	Research Institute						Bilbao							
LC626892.1	France	2017-01-24	Author, Name	Research Institute						Marseille							
PP585431.1	Spain	2001-10-03	Author, Name	Research Institute						Valencia							
ON646273.1	Italy	2018-07-02	Author, Name	Research Institute						Milan							
PP585436.1	France	2023-12-06	Author, Name	Research Institute						Nice							
PQ612464.1	Spain	2013-08-18	Author, Name	Research Institute						Barcelona							
PP858877.1	Brazil	2014-02-06	Author, Name	Research Institute						Fortaleza							
MG432108.1	Australia	2015-06-21	Author, Name	Research Institute						Adelaide							
AB575912.1	Canada	2013-02-14	Author, Name	Research Institute						Toronto							
AB575911.1	USA	2013-05-05	Author, Name	Research Institute						Houston							
AB575916.1	USA	2006-01-31	Author, Name	Research Institute						New York							
AB575917.1	Japan	2000-09-17	Author, Name	Research Institute						Osaka							
AB575936.1	USA	2002-08-25	Author, Name	Research Institute						Houston							
AB575935.1	Spain	2004-10-04	Author, Name	Research Institute						Barcelona							
AB575914.1	Germany	2019-09-04	Author, Name	Research Institute						Cologne							
AB575913.1	Italy	2016-03-27	Author, Name	Research Institute						Palermo							
AB575915.1	Italy	2003-05-24	Author, Name	Research Institute						Turin							
AB575923.1	Japan	2022-02-28	Author, Name	Research Institute						Osaka							
MK419078.1	Spain	2009-05-24	Author, Name	Research Institute						Barcelona							
OQ126967.1	Australia	2004-01-14	Author, Name	Research Institute						Adelaide							
PQ612573.1	Italy	2023-11-13	Author, Name	Research Institute						Naples							
PQ596456.1	Australia	2007-03-15	Author, Name	Research Institute						Sydney							
MN240498.1	Germany	2021-04-04	Author, Name	Research Institute						Berlin							
KU844178.1	Spain	2023-05-18	Author, Name	Research Institute						Barcelona							
EF107098.1	Spain	2018-01-21	Author, Name	Research Institute						Barcelona							
PP474864.1	Brazil	2025-06-12	Author, Name	Research Institute						Salvador							
KX433165.1	Germany	2000-10-24	Author, Name	Research Institute						Cologne							
OR230420.1	USA	2013-08-05	Author, Name	Research Institute						New York							
MN259112.1	Brazil	2004-02-07	Author, Name	Research Institute						Fortaleza							
KX255399.1	Italy	2021-05-11	Author, Name	Research Institute						Naples							
KP745762.1	Japan	2001-07-09	Author, Name	Research Institute						Yokohama							
KX255366.1	Canada	2001-09-16	Author, Name	Research Institute						Calgary							
MH330334.1	France	2009-12-10	Author, Name	Research Institute						Nice							
OK085461.1	Australia	2011-02-20	Author, Name	Research Institute						Sydney							
LC629437.1	France	2013-03-13	Author, Name	Research Institute						Lyon							
MN240496.1	Spain	2004-01-01	Author, Name	Research Institute						Barcelona							
KX261811.1	Spain	2011-08-03	Author, Name	Research Institute						Barcelona							
MN240491.1	France	2009-07-01	Author, Name	Research Institute						Lyon							
KP455260.1	Spain	2023-04-03	Author, Name	Research Institute						Barcelona							
MN240510.1	France	2009-09-01	Author, Name	Research Institute						Paris							
LC107897.1	USA	2023-11-08	Author, Name	Research Institute						Chicago							
KX255405.1	Italy	2021-09-20	Author, Name	Research Institute						Palermo							
KP455257.1	Brazil	2007-06-04	Author, Name	Research Institute						Rio de Janeiro							
KP455289.1	Spain	2004-08-01	Author, Name	Research Institute						Barcelona							
KP455261.1	Spain	2018-06-16	Author, Name	Research Institute						Barcelona							
KP455262.1	Australia	2015-05-19	Author, Name	Research Institute						Perth							
KP455263.1	Italy	2000-01-29	Author, Name	Research Institute						Naples							
LT617111.1	Brazil	2023-09-08	Author, Name	Research Institute						Brasília							
LT617117.1	Australia	2007-02-11	Author, Name	Research Institute						Brisbane							
PQ182728.1	Australia	2000-12-13	Author, Name	Research Institute						Adelaide							
HQ423141.1	Germany	2007-11-19	Author, Name	Research Institute						Frankfurt							
LT617096.1	Brazil	2022-03-11	Author, Name	Research Institute						Rio de Janeiro							
MK989714.1	France	2001-01-06	Author, Name	Research Institute						Marseille							
KF193623.1	Australia	2015-10-17	Author, Name	Research Institute						Sydney							
KC695830.1	Brazil	2019-03-12	Author, Name	Research Institute						São Paulo							
LT617106.1	Canada	2010-09-25	Author, Name	Research Institute						Ottawa							
MT212032.1	Italy	2025-10-21	Author, Name	Research Institute						Palermo							
PP585418.1	Australia	2004-10-26	Author, Name	Research Institute						Perth							
MT212005.1	Germany	2021-03-13	Author, Name	Research Institute						Munich							
OQ091684.1	Spain	2005-04-30	Author, Name	Research Institute						Madrid							
KY792578.1	Italy	2021-10-30	Author, Name	Research Institute						Turin							
OP562188.1	Canada	2015-12-10	Author, Name	Research Institute						Montreal							
JQ746670.1	Japan	2006-09-03	Author, Name	Research Institute						Kyoto							
JQ746675.1	Spain	2008-07-22	Author, Name	Research Institute						Barcelona							
LT617092.1	France	2023-07-14	Author, Name	Research Institute						Lyon							
OP562177.1	USA	2015-04-08	Author, Name	Research Institute						Los Angeles							
JQ746676.1	Australia	2002-12-07	Author, Name	Research Institute						Melbourne							
JQ746666.1	Australia	2024-12-14	Author, Name	Research Institute						Sydney							
OP562173.1	Spain	2022-08-26	Author, Name	Research Institute						Seville							
MF678332.1	Canada	2002-07-27	Author, Name	Research Institute						Calgary							
OP562180.1	Australia	2006-04-10	Author, Name	Research Institute						Melbourne							
OM417120.1	Canada	2023-10-04	Author, Name	Research Institute						Vancouver							
OQ091661.1	Canada	2005-03-13	Author, Name	Research Institute						Montreal							
PQ182729.1	Brazil	2003-09-12	Author, Name	Research Institute						Salvador							
PV613772.1	France	2022-10-12	Author, Name	Research Institute						Marseille							
JQ746665.1	Brazil	2024-07-18	Author, Name	Research Institute						Salvador							
PP078930.1	France	2001-05-22	Author, Name	Research Institute						Lyon							
PP078969.1	Australia	2016-06-08	Author, Name	Research Institute						Perth							
OQ091512.1	Italy	2006-10-30	Author, Name	Research Institute						Naples							
PP078995.1	Japan	2001-02-04	Author, Name	Research Institute						Tokyo							
PP078947.1	Spain	2013-07-26	Author, Name	Research Institute						Barcelona							
OQ091507.1	USA	2005-02-14	Author, Name	Research Institute						Chicago							
OR095129.1	USA	2008-09-22	Author, Name	Research Institute						Los Angeles							
MH144597.1	USA	2023-04-26	Author, Name	Research Institute						Phoenix							
KT588920.1	Canada	2014-10-19	Author, Name	Research Institute						Montreal							
MW929300.1	Australia	2016-07-15	Author, Name	Research Institute						Adelaide							
